filters,kernel,reg_type,l1_value,l2_value,mapes_train,mapes_test
16,14,l2,,0.1,"{'Prévision globale': {'avg_mape': 9.2222346668848, 'max_mape': 872.18994140625}}","{'Prévision globale': {'avg_mape': 7.725113162563298, 'max_mape': 19.13995615094174}, 'Prévision journalière': {'avg_mape': 12.492995754517828, 'max_mape': 23.42992828566097}, 'Prévision hebdomadaire': {'avg_mape': 57.258333663703944, 'max_mape': 100.0}}"
16,14,l2,,0.01,"{'Prévision globale': {'avg_mape': 5.817992045942809, 'max_mape': 1140.8245171440972}}","{'Prévision globale': {'avg_mape': 10.257969733571901, 'max_mape': 27.79709928770293}, 'Prévision journalière': {'avg_mape': 21.55217276234303, 'max_mape': 56.113349947135916}, 'Prévision hebdomadaire': {'avg_mape': 61.50566840941339, 'max_mape': 100.0}}"
16,14,l2,,0.001,"{'Prévision globale': {'avg_mape': 7.716984574435472, 'max_mape': 2105.867377387153}}","{'Prévision globale': {'avg_mape': 10.388425956824909, 'max_mape': 32.226836899613645}, 'Prévision journalière': {'avg_mape': 12.96710473155404, 'max_mape': 29.32512986561045}, 'Prévision hebdomadaire': {'avg_mape': 56.09316012808082, 'max_mape': 100.0}}"
16,14,l2,,0.0001,"{'Prévision globale': {'avg_mape': 7.591537736688958, 'max_mape': 496.5713840060764}}","{'Prévision globale': {'avg_mape': 9.151301622751696, 'max_mape': 22.338340897616014}, 'Prévision journalière': {'avg_mape': 10.374816160335966, 'max_mape': 21.367037325115927}, 'Prévision hebdomadaire': {'avg_mape': 55.47576540920951, 'max_mape': 100.0}}"
16,14,l1_l2,0.0,0.0,"{'Prévision globale': {'avg_mape': 6.671397607392707, 'max_mape': 1198.5611979166667}}","{'Prévision globale': {'avg_mape': 7.777966003398103, 'max_mape': 18.45811895465204}, 'Prévision journalière': {'avg_mape': 13.50377958827533, 'max_mape': 29.042990013399212}, 'Prévision hebdomadaire': {'avg_mape': 55.9357175219189, 'max_mape': 100.0}}"
16,14,l1_l2,0.0,0.1,"{'Prévision globale': {'avg_mape': 10.916204356930574, 'max_mape': 931.4048936631945}}","{'Prévision globale': {'avg_mape': 18.723134334291075, 'max_mape': 38.44357452144707}, 'Prévision journalière': {'avg_mape': 12.894169520897696, 'max_mape': 37.71941783429989}, 'Prévision hebdomadaire': {'avg_mape': 60.09340834467156, 'max_mape': 100.0}}"
16,14,l1_l2,0.0,0.01,"{'Prévision globale': {'avg_mape': 5.647617925758305, 'max_mape': 1363.547092013889}}","{'Prévision globale': {'avg_mape': 7.712050326588529, 'max_mape': 19.05744128688887}, 'Prévision journalière': {'avg_mape': 14.881338231250515, 'max_mape': 22.331991340235323}, 'Prévision hebdomadaire': {'avg_mape': 54.15263820133019, 'max_mape': 100.0}}"
16,14,l1_l2,0.0,0.001,"{'Prévision globale': {'avg_mape': 5.596546694541582, 'max_mape': 1420.823025173611}}","{'Prévision globale': {'avg_mape': 11.26592830056904, 'max_mape': 35.736021114228286}, 'Prévision journalière': {'avg_mape': 12.210175323867935, 'max_mape': 42.54287726935277}, 'Prévision hebdomadaire': {'avg_mape': 58.32762107652619, 'max_mape': 100.0}}"
16,14,l1_l2,0.0,0.0001,"{'Prévision globale': {'avg_mape': 7.932740907033463, 'max_mape': 937.8948296440973}}","{'Prévision globale': {'avg_mape': 9.62803738698516, 'max_mape': 19.043556136672958}, 'Prévision journalière': {'avg_mape': 13.293953391266495, 'max_mape': 37.08542394293717}, 'Prévision hebdomadaire': {'avg_mape': 56.11643437215582, 'max_mape': 100.0}}"
16,14,l1_l2,0.1,0.0,"{'Prévision globale': {'avg_mape': 7.62388584695383, 'max_mape': 421.8514831661025}}","{'Prévision globale': {'avg_mape': 8.70133781434553, 'max_mape': 26.205143871804605}, 'Prévision journalière': {'avg_mape': 15.340906954244437, 'max_mape': 35.233959545892304}, 'Prévision hebdomadaire': {'avg_mape': 56.22830211509112, 'max_mape': 100.0}}"
16,14,l1_l2,0.1,0.1,"{'Prévision globale': {'avg_mape': 9.18635672763044, 'max_mape': 793.4461805555555}}","{'Prévision globale': {'avg_mape': 5.719792738161674, 'max_mape': 10.746670692468467}, 'Prévision journalière': {'avg_mape': 12.966279450735925, 'max_mape': 24.46007304742863}, 'Prévision hebdomadaire': {'avg_mape': 55.25174809023257, 'max_mape': 100.0}}"
16,14,l1_l2,0.1,0.01,"{'Prévision globale': {'avg_mape': 9.77412462518431, 'max_mape': 1343.9990234375}}","{'Prévision globale': {'avg_mape': 8.61920187512256, 'max_mape': 22.119001281446195}, 'Prévision journalière': {'avg_mape': 16.002530151190854, 'max_mape': 31.114202647297024}, 'Prévision hebdomadaire': {'avg_mape': 57.17153486380653, 'max_mape': 100.0}}"
16,14,l1_l2,0.1,0.001,"{'Prévision globale': {'avg_mape': 9.386890931945372, 'max_mape': 1334.1423882378472}}","{'Prévision globale': {'avg_mape': 7.581802348303986, 'max_mape': 19.370171572732602}, 'Prévision journalière': {'avg_mape': 11.72552461326549, 'max_mape': 27.65728212315246}, 'Prévision hebdomadaire': {'avg_mape': 56.54411346453179, 'max_mape': 100.0}}"
16,14,l1_l2,0.1,0.0001,"{'Prévision globale': {'avg_mape': 7.945054915525223, 'max_mape': 326.5799967447917}}","{'Prévision globale': {'avg_mape': 12.177924313214087, 'max_mape': 24.92818298071282}, 'Prévision journalière': {'avg_mape': 16.03826450735479, 'max_mape': 26.35177404909915}, 'Prévision hebdomadaire': {'avg_mape': 56.50392882362752, 'max_mape': 100.0}}"
