date,Livraison,Suivi colis,Expédition colis,Tarif colis,Envoi colis,Livraison express,Livraison domicile,Délai livraison,Retard livraison,Service de livraison,Point relais,colis
2017-08-30,74,43,24,81,53,41,59,74,0,0,70,64
2017-08-31,65,36,0,38,80,31,41,14,0,35,73,60
2017-09-01,78,46,0,47,35,75,73,62,32,35,60,64
2017-09-02,72,26,0,34,59,42,73,0,0,0,57,49
2017-09-03,75,14,0,56,53,25,83,33,0,24,23,34
2017-09-04,61,52,0,46,57,39,52,0,20,18,70,62
2017-09-05,64,63,0,58,66,55,64,37,23,0,64,73
2017-09-06,69,61,0,72,44,34,70,50,54,0,60,68
2017-09-07,65,72,0,82,100,43,39,0,24,27,61,78
2017-09-08,76,64,0,54,56,60,63,0,0,29,74,74
2017-09-09,74,40,57,57,38,34,61,20,38,0,77,54
2017-09-10,82,18,20,38,74,34,64,55,0,0,42,32
2017-09-11,65,56,39,81,90,35,47,51,0,27,62,67
2017-09-12,65,58,47,75,79,52,64,46,28,0,57,70
2017-09-13,69,69,0,52,76,60,54,54,52,0,66,82
2017-09-14,63,66,0,35,38,64,43,37,40,0,72,71
2017-09-15,66,64,0,40,51,37,52,49,34,38,61,67
2017-09-16,76,47,0,27,26,56,63,43,62,0,84,61
2017-09-17,74,20,0,60,52,0,71,0,0,0,45,33
2017-09-18,63,55,0,61,72,34,55,22,0,27,60,67
2017-09-19,66,68,0,80,53,0,46,60,30,18,73,74
2017-09-20,61,71,0,0,73,75,39,34,0,46,64,80
2017-09-21,64,69,0,53,78,50,60,23,57,0,72,77
2017-09-22,66,61,23,58,84,46,56,24,27,0,63,69
2017-09-23,66,38,0,33,61,41,54,35,21,0,59,52
2017-09-24,68,20,0,59,41,39,62,0,0,0,40,30
2017-09-25,71,62,0,69,84,36,76,76,62,50,67,74
2017-09-26,65,57,0,54,69,67,63,55,100,0,76,69
2017-09-27,59,58,46,50,64,26,53,30,50,38,66,68
2017-09-28,59,61,26,34,60,29,46,55,33,59,74,71
2017-09-29,70,66,0,56,57,47,52,0,27,0,78,74
2017-09-30,74,38,0,37,28,15,80,18,59,32,51,47
2017-10-01,70,18,0,54,44,25,62,21,0,0,43,25
2017-10-02,63,51,29,38,78,33,73,53,99,0,55,46
2017-10-03,60,53,0,35,55,63,50,33,61,0,53,50
2017-10-04,64,63,0,36,56,19,58,16,35,25,63,53
2017-10-05,69,63,0,24,50,28,54,0,22,0,56,54
2017-10-06,73,63,0,21,40,30,76,14,0,42,68,50
2017-10-07,81,40,0,30,45,20,88,17,22,0,58,38
2017-10-08,82,14,0,22,33,0,91,15,0,0,29,22
2017-10-09,67,40,0,44,60,28,60,11,0,27,68,45
2017-10-10,61,39,0,39,58,43,54,25,0,41,61,46
2017-10-11,67,43,0,47,68,23,63,13,45,0,76,52
2017-10-12,64,41,0,49,62,27,51,0,56,0,66,48
2017-10-13,64,42,0,50,39,18,56,21,35,0,69,45
2017-10-14,71,22,0,48,66,16,75,20,85,19,55,34
2017-10-15,74,12,47,42,36,29,80,0,0,0,38,23
2017-10-16,59,37,0,70,65,42,53,42,23,0,52,43
2017-10-17,64,40,0,41,57,22,43,17,0,0,68,46
2017-10-18,63,34,0,43,32,19,62,0,45,15,60,47
2017-10-19,60,40,0,27,68,36,53,42,65,19,49,44
2017-10-20,66,36,92,27,57,49,67,12,59,0,53,46
2017-10-21,73,23,0,48,54,16,80,13,0,27,59,37
2017-10-22,84,10,0,45,58,28,97,25,41,0,34,21
2017-10-23,64,36,0,35,50,31,45,65,23,0,51,41
2017-10-24,63,33,0,29,44,18,62,34,35,29,52,42
2017-10-25,64,37,0,20,48,26,67,52,0,0,60,42
2017-10-26,67,43,0,42,69,25,65,15,0,76,52,47
2017-10-27,70,30,0,51,51,22,62,31,0,33,62,40
2017-10-28,78,24,0,41,52,36,70,19,0,0,38,31
2017-10-29,80,12,0,38,47,35,86,0,0,0,45,22
2017-10-30,77,37,0,50,57,26,78,56,0,35,57,43
2017-10-31,62,30,0,8,52,31,68,56,0,0,47,36
2017-11-01,85,16,0,26,52,49,83,13,0,0,37,25
