,Trafic TG1,Prévision globale
2019-10-29,24277.0,27155.9453125
2019-10-30,25271.0,27828.2578125
2019-10-31,11672.0,17181.01171875
2019-11-01,12036.0,16249.390625
2019-11-04,28989.0,30270.705078125
2019-11-05,26772.0,29447.91796875
2019-11-06,31016.0,34485.8359375
2019-11-07,37001.0,34834.4765625
2019-11-08,27426.0,31994.767578125
2019-11-11,0.0,34382.42578125
2019-11-12,42586.0,40473.47265625
2019-11-13,29168.0,32356.482421875
2019-11-14,26569.0,28261.10546875
2019-11-15,34484.0,33618.4453125
2019-11-18,30138.0,33299.1484375
2019-11-19,30222.0,30732.2734375
2019-11-20,29024.0,29710.66015625
2019-11-21,23030.0,28760.568359375
2019-11-22,20778.0,22636.130859375
2019-11-25,29923.0,33880.46875
2019-11-26,32340.0,32801.171875
2019-11-27,24576.0,27758.244140625
2019-11-28,28362.0,33712.6875
2019-11-29,28771.999999999996,31299.400390625
2019-12-02,41596.0,42576.546875
2019-12-03,35360.0,35072.90234375
2019-12-04,38138.0,40464.07421875
2019-12-05,32895.0,34116.578125
2019-12-06,38151.0,37504.83203125
2019-12-09,36852.0,40904.70703125
2019-12-10,35333.0,37927.23046875
2019-12-11,32775.0,37008.625
2019-12-12,28747.0,38282.38671875
2019-12-13,31390.0,36104.046875
2019-12-16,36992.0,40086.96484375
2019-12-17,30063.0,36918.9140625
2019-12-18,30467.0,32831.40625
2019-12-19,22997.0,28619.986328125
2019-12-20,22102.0,24831.666015625
2019-12-23,30023.0,31862.458984375
2019-12-24,5971.0,9504.7763671875
2019-12-25,11531.0,17020.505859375
2019-12-26,26364.0,28149.99609375
2019-12-27,24179.0,26785.82421875
2019-12-30,22153.0,25890.681640625
2019-12-31,19362.0,23472.8046875
2020-01-01,18031.0,21514.68359375
2020-01-02,21718.0,25176.876953125
2020-01-03,21385.0,22675.810546875
2020-01-06,35489.0,36759.63671875
2020-01-07,24174.0,27810.681640625
2020-01-08,32659.0,33103.6796875
2020-01-09,26861.0,28638.041015625
2020-01-10,27839.0,25865.453125
2020-01-13,35582.0,31206.55859375
2020-01-14,28171.0,28668.478515625
2020-01-15,21646.0,23427.392578125
2020-01-16,28495.0,29146.130859375
2020-01-17,25004.0,26007.875
2020-01-20,28503.0,27837.634765625
2020-01-21,24384.0,25060.3671875
2020-01-22,27778.0,29182.861328125
2020-01-23,23014.0,23662.1015625
2020-01-24,22183.0,25630.947265625
2020-01-27,26219.0,30524.556640625
2020-01-28,19555.0,22247.19921875
2020-01-29,23274.0,26220.791015625
2020-01-30,20366.0,24299.470703125
2020-01-31,25708.0,27410.00390625
2020-02-03,27166.0,31020.197265625
2020-02-04,25542.0,27901.3203125
2020-02-05,27258.0,29413.24609375
2020-02-06,27566.0,28804.32421875
2020-02-07,25065.0,27709.93359375
